id,hname,City,state,ZIP Code,county,total_amount,year,group
2319,MERCY HOSPITAL ST LOUIS,SAINT LOUIS,MO,63141,SAINT LOUIS,21,0,low
2320,MERCY HOSPITAL TISHOMINGO INC,TISHOMINGO,OK,73460,JOHNSTON,120,2,high
2321,MERCY HOSPITAL TURNER MEMORIAL,OZARK,AR,72949,FRANKLIN,98,1,medium
2322,MERCY HOSPITAL WASHINGTON,WASHINGTON,MO,63090,FRANKLIN,20,0,low
2323,MERCY HOSPITAL-FORT SCOTT,FORT SCOTT,KS,66701,BOURBON,23,1,medium
2324,MERCY MCCUNE BROOKS HOSPITAL,CARTHAGE,MO,64836,JASPER,21,0,low
2325,MERCY MEDICAL CENTER,MERCED,CA,95340,MERCED,20,0,low
2326,MERCY MEDICAL CENTER,SPRINGFIELD,MA,1104,HAMPDEN,20,0,low
2327,MERCY MEDICAL CENTER,ROSEBURG,OR,97471,DOUGLAS,21,0,low
2328,MERCY MEDICAL CENTER,ROCKVILLE CENTRE,NY,11570,NASSAU,22,1,medium
2329,MERCY MEDICAL CENTER,WILLISTON,ND,58801,WILLIAMS,22,1,medium
2330,MERCY MEDICAL CENTER,CANTON,OH,44708,STARK,22,1,medium
2331,MERCY MEDICAL CENTER - CEDAR RAPIDS,CEDAR RAPIDS,IA,52403,LINN,20,0,low
2332,MERCY MEDICAL CENTER INC,BALTIMORE,MD,21202,BALTIMORE CITY,20,0,low
2333,MERCY MEDICAL CENTER MT SHASTA,MOUNT SHASTA,CA,96067,SISKIYOU,21,0,low
2334,MERCY MEDICAL CENTER OF OSHKOSH,OSHKOSH,WI,54904,WINNEBAGO,20,0,low
2335,MERCY MEDICAL CENTER REDDING,REDDING,CA,96001,SHASTA,20,0,low
2336,MERCY MEDICAL CENTER-CENTERVILLE,CENTERVILLE,IA,52544,APPANOOSE,104,1,medium
2337,MERCY MEDICAL CENTER-CLINTON,CLINTON,IA,52732,CLINTON,21,0,low
2338,MERCY MEDICAL CENTER-DES MOINES,DES MOINES,IA,50314,POLK,21,0,low
2339,MERCY MEDICAL CENTER-DUBUQUE,DUBUQUE,IA,52001,DUBUQUE,20,0,low
2340,MERCY MEDICAL CENTER-DYERSVILLE,DYERSVILLE,IA,52040,DUBUQUE,115,2,high
2341,MERCY MEDICAL CENTER-NEW HAMPTON,NEW HAMPTON,IA,50659,CHICKASAW,98,1,medium
2342,MERCY MEDICAL CENTER-NORTH IOWA,MASON CITY,IA,50401,CERRO GORDO,21,0,low
2343,MERCY MEDICAL CENTER-SIOUX CITY,SIOUX CITY,IA,51101,WOODBURY,20,0,low
2344,MERCY MEMORIAL HOSPITAL,URBANA,OH,43078,CHAMPAIGN,105,1,medium
2345,MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,81301,LA PLATA,20,0,low
2346,MERCY REGIONAL MEDICAL CENTER,VILLE PLATTE,LA,70586,EVANGELINE,20,0,low
2347,MERCY REGIONAL MEDICAL CENTER,LORAIN,OH,44053,LORAIN,20,0,low
2348,MERCY SAN JUAN MEDICAL CENTER,CARMICHAEL,CA,95608,SACRAMENTO,20,0,low
2349,MERCY ST ANNE HOSPITAL,TOLEDO,OH,43623,LUCAS,21,0,low
2350,MERCY ST CHARLES HOSPITAL,OREGON,OH,43616,LUCAS,23,1,medium
2351,MERCY ST FRANCIS HOSPITAL,MOUNTAIN VIEW,MO,65548,HOWELL,66,1,medium
2352,MERCY ST VINCENT MEDICAL CENTER,TOLEDO,OH,43608,LUCAS,23,1,medium
2353,MERCY SUBURBAN HOSPITAL,NORRISTOWN,PA,19401,MONTGOMERY,21,0,low
2354,MERCY TIFFIN HOSPITAL,TIFFIN,OH,44883,SENECA,20,0,low
2355,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,LAKE GENEVA,WI,53147,WALWORTH,20,0,low
2356,MERCY WILLARD HOSPITAL,WILLARD,OH,44890,HURON,58,1,medium
2357,MERIT HEALTH BATESVILLE,BATESVILLE,MS,38606,PANOLA,25,1,medium
2358,MERIT HEALTH BILOXI,BILOXI,MS,39530,HARRISON,22,1,medium
2359,MERIT HEALTH CENTRAL,JACKSON,MS,39204,HINDS,22,1,medium
2360,MERIT HEALTH GILMORE MEMORIAL,AMORY,MS,38821,MONROE,20,0,low
2361,MERIT HEALTH MADISON,CANTON,MS,39046,MADISON,21,0,low
2362,MERIT HEALTH NATCHEZ,NATCHEZ,MS,39120,ADAMS,24,1,medium
2363,MERIT HEALTH NATCHEZ-COMMUNITY CAMPUS,NATCHEZ,MS,39120,ADAMS,22,1,medium
2364,MERIT HEALTH RANKIN,BRANDON,MS,39042,RANKIN,22,1,medium
2365,MERIT HEALTH RIVER OAKS,FLOWOOD,MS,39232,RANKIN,21,0,low
2366,MERIT HEALTH WOMENS HOSPITAL,FLOWOOD,MS,39232,RANKIN,27,1,medium
2367,MERITER HOSPITAL,MADISON,WI,53715,DANE,20,0,low
2368,MERITUS MEDICAL CENTER,HAGERSTOWN,MD,21742,WASHINGTON,20,0,low
2369,MESA VIEW REGIONAL HOSPITAL,MESQUITE,NV,89027,CLARK,20,0,low
2370,MESCALERO PHS INDIAN HOSPITAL,MESCALERO,NM,88340,OTERO,36,1,medium
2371,METHODIST AMBULATORY SURGERY HOSPITAL NW,SAN ANTONIO,TX,78240,BEXAR,20,0,low
2372,METHODIST CHARLTON MEDICAL CENTER,DALLAS,TX,75237,DALLAS,20,0,low
2373,METHODIST DALLAS MEDICAL CENTER,DALLAS,TX,75203,DALLAS,20,0,low
2374,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,OLIVE BRANCH,MS,38654,DESOTO,20,0,low
2375,METHODIST HEALTHCARE FAYETTE HOSPITAL,SOMERVILLE,TN,38068,FAYETTE,21,0,low
2376,METHODIST HEALTHCARE MEMPHIS HOSPITALS,MEMPHIS,TN,38104,SHELBY,21,0,low
2377,METHODIST HOSPITAL,OMAHA,NE,68114,DOUGLAS,20,0,low
2378,METHODIST HOSPITAL,SAN ANTONIO,TX,78229,BEXAR,20,0,low
2379,METHODIST HOSPITAL,HENDERSON,KY,42420,HENDERSON,21,0,low
2380,METHODIST HOSPITAL FOR SURGERY,ADDISON,TX,75001,DALLAS,23,1,medium
2381,METHODIST HOSPITAL OF CHICAGO,CHICAGO,IL,60640,COOK,21,0,low
2382,METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,CA,95823,SACRAMENTO,20,0,low
2383,METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,CA,91006,LOS ANGELES,21,0,low
2384,METHODIST HOSPITAL UNION COUNTY,MORGANFIELD,KY,42437,UNION,20,0,low
2385,"METHODIST HOSPITAL,THE",HOUSTON,TX,77030,HARRIS,22,1,medium
2386,METHODIST HOSPITALS INC,GARY,IN,46402,LAKE,20,0,low
2387,METHODIST JENNIE EDMUNDSON,COUNCIL BLUFFS,IA,51503,POTTAWATTAMIE,23,1,medium
2388,METHODIST MANSFIELD MEDICAL CENTER,MANSFIELD,TX,76063,TARRANT,20,0,low
2389,METHODIST MCKINNEY HOSPITAL,MC KINNEY,TX,75070,COLLIN,20,0,low
2390,METHODIST MEDICAL CENTER OF ILLINOIS,PEORIA,IL,61636,PEORIA,22,1,medium
2391,METHODIST MEDICAL CENTER OF OAK RIDGE,OAK RIDGE,TN,37830,ANDERSON,20,0,low
2392,METHODIST RICHARDSON MEDICAL CENTER,RICHARDSON,TX,75082,DALLAS,20,0,low
2393,METHODIST STONE OAK HOSPITAL,SAN ANTONIO,TX,78258,BEXAR,20,0,low
2394,METHODIST SUGAR LAND HOSPITAL,SUGAR LAND,TX,77479,FORT BEND,20,0,low
2395,METHODIST WEST HOUSTON HOSPITAL,HOUSTON,TX,77094,HARRIS,25,1,medium
2396,METHODIST WILLOWBROOK HOSPITAL,HOUSTON,TX,77070,HARRIS,20,0,low
2397,METRO HEALTH HOSPITAL,WYOMING,MI,49519,KENT,20,0,low
2398,METRO NASHVILLE GENERAL HOSPITAL,NASHVILLE,TN,37208,DAVIDSON,20,0,low
2399,METROHEALTH SYSTEM,CLEVELAND,OH,44109,CUYAHOGA,20,0,low
2400,METROPLEX HOSPITAL,KILLEEN,TX,76542,BELL,20,0,low
2401,METROPOLITAN HOSPITAL,SAN JUAN,PR,915,SAN JUAN,112,1,medium
2402,METROPOLITAN HOSPITAL CENTER,NEW YORK,NY,10029,NEW YORK,20,0,low
2403,METROSOUTH MEDICAL CENTER,BLUE ISLAND,IL,60406,COOK,20,0,low
2404,METROWEST MEDICAL CENTER,FRAMINGHAM,MA,1701,MIDDLESEX,20,0,low
2405,MEYERSDALE MEDICAL CENTER,MYERSDALE,PA,15552,SOMERSET,34,1,medium
2406,MIAMI COUNTY MEDICAL CENTER,PAOLA,KS,66071,MIAMI,21,0,low
2407,MIAMI VA MEDICAL CENTER,MIAMI,FL,33125,MIAMI-DADE,107,1,medium
2408,MIAMI VALLEY HOSPITAL,DAYTON,OH,45409,MONTGOMERY,20,0,low
2409,MID COAST HOSPITAL,BRUNSWICK,ME,4011,CUMBERLAND,21,0,low
2410,MID VALLEY HOSPITAL,OMAK,WA,98841,OKANOGAN,37,1,medium
2411,MID-COLUMBIA MEDICAL CENTER,THE DALLES,OR,97058,WASCO,21,0,low
2412,MIDDLE PARK MEDICAL CENTER,KREMMLING,CO,80459,GRAND,115,2,high
2413,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,MIDDLESBORO,KY,40965,BELL,21,0,low
2414,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,6457,MIDDLESEX,20,0,low
2415,MIDLAND MEMORIAL HOSPITAL,MIDLAND,TX,79701,MIDLAND,23,1,medium
2416,MIDMICHIGAN MEDICAL CENTER-CLARE,CLARE,MI,48617,CLARE,22,1,medium
2417,MIDMICHIGAN MEDICAL CENTER-GLADWIN,GLADWIN,MI,48624,GLADWIN,28,1,medium
2418,MIDMICHIGAN MEDICAL CENTER-GRATIOT,ALMA,MI,48801,GRATIOT,21,0,low
2419,MIDMICHIGAN MEDICAL CENTER-MIDLAND,MIDLAND,MI,48670,MIDLAND,20,0,low
2420,MIDSTATE MEDICAL CENTER,MERIDEN,CT,6450,NEW HAVEN,21,0,low
2421,MIDTOWN MEDICAL CENTER,COLUMBUS,GA,31901,MUSCOGEE,25,1,medium
2422,MIDWEST MEDICAL CENTER,GALENA,IL,61036,JO DAVIESS,72,1,medium
2423,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,FRANKLIN,WI,53132,MILWAUKEE,118,2,high
2424,MIDWEST REGIONAL MEDICAL CENTER,MIDWEST CITY,OK,73110,OKLAHOMA,20,0,low
2425,MIDWEST SURGICAL HOSPITAL LLC,OMAHA,NE,68114,DOUGLAS,115,2,high
2426,MIDWESTERN REGION MED CENTER,ZION,IL,60099,LAKE,22,1,medium
2427,MILAN GENERAL HOSPITAL,MILAN,TN,38358,GIBSON,23,1,medium
2428,MILBANK AREA HOSPITAL/AVERA HEALTH - CAH,MILBANK,SD,57252,GRANT,53,1,medium
2429,MILE BLUFF MEDICAL CENTER,MAUSTON,WI,53948,JUNEAU,21,0,low
2430,"MILFORD HOSPITAL, INC",MILFORD,CT,6460,NEW HAVEN,21,0,low
2431,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,1757,WORCESTER,20,0,low
2432,MILLCREEK COMMUNITY HOSPITAL,ERIE,PA,16509,ERIE,20,0,low
2433,MILLE LACS HEALTH SYSTEM,ONAMIA,MN,56359,MILLE LACS,35,1,medium
2434,MILLER CHILDRENS HOSPITAL,LONG BEACH,CA,90806,LOS ANGELES,117,2,high
2435,MILLER COUNTY HOSPITAL,COLQUITT,GA,39837,MILLER,21,0,low
2436,MILLS-PENINSULA MEDICAL CENTER,BURLINGAME,CA,94010,SAN MATEO,20,0,low
2437,MILTON S HERSHEY MEDICAL CENTER,HERSHEY,PA,17033,DAUPHIN,20,0,low
2438,MILWAUKEE VA MEDICAL CENTER,MILWAUKEE,WI,53295,MILWAUKEE,112,1,medium
2439,MIMBRES MEMORIAL HOSPITAL,DEMING,NM,88031,LUNA,20,0,low
2440,MINDEN MEDICAL CENTER,MINDEN,LA,71055,WEBSTER,21,0,low
2441,MINERS COLFAX MEDICAL CENTER,RATON,NM,87740,COLFAX,21,0,low
2442,MINERS MEDICAL CENTER,HASTINGS,PA,16646,CAMBRIA,20,0,low
2443,MINIMALLY INVASIVE SURGERY HOSPITAL,LENEXA,KS,66219,JOHNSON,81,1,medium
2444,MINISTRY DOOR COUNTY MEDICAL CENTER,STURGEON BAY,WI,54235,DOOR,31,1,medium
2445,MINISTRY EAGLE RIVER MEMORIAL HOSPITAL,EAGLE RIVER,WI,54521,VILAS,20,0,low
2446,MINISTRY SACRED HEART HOSPITAL,TOMAHAWK,WI,54487,LINCOLN,20,0,low
2447,MINISTRY SAINT JOSEPHS HOSPITAL,MARSHFIELD,WI,54449,WOOD,20,0,low
2448,MINISTRY SAINT MARYS HOSPITAL,RHINELANDER,WI,54501,ONEIDA,21,0,low
2449,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,STEVENS POINT,WI,54481,PORTAGE,20,0,low
2450,MINNEAPOLIS VA MEDICAL CENTER,MINNEAPOLIS,MN,55417,HENNEPIN,114,1,medium
2451,MINNEOLA DISTRICT HOSPITAL NBR 2,MINNEOLA,KS,67865,CLARK,120,2,high
2452,MINNESOTA VALLEY HEALTH CENTER  INC,LE SUEUR,MN,56058,LE SUEUR,20,0,low
2453,MINNIE HAMILTON HEALTH CARE CENTER,GRANTSVILLE,WV,26147,CALHOUN,20,0,low
2454,MIRACLE MILE MEDICAL CENTER,LOS ANGELES,CA,90036,LOS ANGELES,95,1,medium
2455,MIRIAM HOSPITAL,PROVIDENCE,RI,2906,PROVIDENCE,22,1,medium
2456,MISSION COMMUNITY HOSPITAL,PANORAMA CITY,CA,91402,LOS ANGELES,23,1,medium
2457,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,92691,ORANGE,21,0,low
2458,MISSION REGIONAL MEDICAL CENTER,MISSION,TX,78572,HIDALGO,20,0,low
2459,MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,MS,39202,HINDS,23,1,medium
2460,MISSOURI BAPTIST MEDICAL CENTER,TOWN AND COUNTRY,MO,63131,SAINT LOUIS,20,0,low
2461,MISSOURI BAPTIST SULLIVAN HOSPITAL,SULLIVAN,MO,63080,FRANKLIN,22,1,medium
2462,MISSOURI DELTA MEDICAL CENTER,SIKESTON,MO,63801,NEW MADRID,20,0,low
2463,MITCHELL COUNTY HOSPITAL DISTRICT,COLORADO CITY,TX,79512,MITCHELL,34,1,medium
2464,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,BELOIT,KS,67420,MITCHELL,50,1,medium
2465,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,21,0,low
2466,MOBERLY REGIONAL MEDICAL CENTER,MOBERLY,MO,65270,RANDOLPH,22,1,medium
2467,MOBILE INFIRMARY,MOBILE,AL,36652,MOBILE,25,1,medium
2468,MOBRIDGE REGIONAL HOSPITAL - CAH,MOBRIDGE,SD,57601,WALWORTH,40,1,medium
2469,MODOC MEDICAL CENTER,ALTURAS,CA,96101,MODOC,114,1,medium
2470,MONADNOCK COMMUNITY HOSPITAL,PETERBOROUGH,NH,3458,HILLSBOROUGH,29,1,medium
2471,MONMOUTH MEDICAL CENTER,LONG BRANCH,NJ,7740,MONMOUTH,20,0,low
2472,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,LAKEWOOD,NJ,8701,OCEAN,21,0,low
2473,MONONGAHELA VALLEY HOSPITAL,MONONGAHELA,PA,15063,WASHINGTON,20,0,low
2474,MONONGALIA COUNTY GENERAL HOSPITAL,MORGANTOWN,WV,26505,MONONGALIA,21,0,low
2475,MONROE COMMUNITY HOSPITAL,ROCHESTER,NY,14620,MONROE,63,1,medium
2476,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36460,MONROE,20,0,low
2477,MONROE COUNTY HOSPITAL,FORSYTH,GA,31029,MONROE,22,1,medium
2478,MONROE COUNTY HOSPITAL,ALBIA,IA,52531,MONROE,114,1,medium
2479,MONROE COUNTY MEDICAL CENTER,TOMPKINSVILLE,KY,42167,MONROE,21,0,low
2480,MONROE HOSPITAL,BLOOMINGTON,IN,47403,MONROE,20,0,low
2481,MONROE SURGICAL HOSPITAL,MONROE,LA,71201,OUACHITA,86,1,medium
2482,MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR,CA,91763,SAN BERNARDINO,20,0,low
2483,MONTEFIORE MEDICAL CENTER,BRONX,NY,10467,BRONX,23,1,medium
2484,MONTEFIORE MOUNT VERNON HOSPITAL,MOUNT VERNON,NY,10550,WESTCHESTER,22,1,medium
2485,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,10802,WESTCHESTER,20,0,low
2486,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,91754,LOS ANGELES,23,1,medium
2487,MONTFORT JONES MEMORIAL HOSPITAL,KOSCIUSKO,MS,39090,ATTALA,20,0,low
2488,MONTGOMERY COUNTY MEMORIAL HOSPITAL,RED OAK,IA,51566,MONTGOMERY,30,1,medium
2489,"MONTGOMERY GENERAL HOSPITAL, INC",MONTGOMERY,WV,25136,FAYETTE,105,1,medium
2490,MONTROSE MEMORIAL HOSPITAL,MONTROSE,CO,81401,MONTROSE,21,0,low
2491,MOORE COUNTY HOSPITAL DISTRICT,DUMAS,TX,79029,MOORE,21,0,low
2492,MOREHEAD MEMORIAL HOSPITAL,EDEN,NC,27288,ROCKINGHAM,21,0,low
2493,MOREHOUSE GENERAL HOSPITAL,BASTROP,LA,71220,MOREHOUSE,20,0,low
2494,MORGAN COUNTY ARH HOSPITAL,WEST LIBERTY,KY,41472,MORGAN,120,2,high
2495,MORGAN MEMORIAL HOSPITAL,MADISON,GA,30650,MORGAN,21,0,low
2496,MORRILL COUNTY COMMUNITY HOSPITAL,BRIDGEPORT,NE,69336,MORRILL,102,1,medium
2497,MORRIS COUNTY HOSPITAL,COUNCIL GROVE,KS,66846,MORRIS,20,0,low
2498,MORRIS HOSPITAL & HEALTHCARE CENTERS,MORRIS,IL,60450,GRUNDY,21,0,low
2499,MORRISON COMMUNITY HOSPITAL,MORRISON,IL,61270,WHITESIDE,20,0,low
2500,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,MORRISTOWN,TN,37814,HAMBLEN,21,0,low
2501,MORRISTOWN MEDICAL CENTER,MORRISTOWN,NJ,7962,MORRIS,21,0,low
2502,MORROW COUNTY HOSPITAL,MOUNT GILEAD,OH,43338,MORROW,28,1,medium
2503,MORTON COUNTY HOSPITAL,ELKHART,KS,67950,MORTON,20,0,low
2504,MORTON GENERAL HOSPITAL,MORTON,WA,98356,LEWIS,70,1,medium
2505,MORTON HOSPITAL,TAUNTON,MA,2780,BRISTOL,20,0,low
2506,MORTON PLANT HOSPITAL,CLEARWATER,FL,33756,PINELLAS,22,1,medium
2507,MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,FL,34652,PASCO,23,1,medium
2508,"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,27401,GUILFORD,21,0,low
2509,MOSES TAYLOR HOSPITAL,SCRANTON,PA,18510,LACKAWANNA,22,1,medium
2510,MOSES-LUDINGTON HOSPITAL,TICONDEROGA,NY,12883,ESSEX,101,1,medium
2511,MOTHER FRANCES HOSPITAL,TYLER,TX,75701,SMITH,22,1,medium
2512,MOTHER FRANCES HOSPITAL JACKSONVILLE,JACKSONVILLE,TX,75766,CHEROKEE,112,1,medium
2513,MOTION PICTURE & TELEVISION HOSPITAL,WOODLAND HILLS,CA,91364,LOS ANGELES,53,1,medium
2514,MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS,FRIENDSHIP,WI,53934,ADAMS,28,1,medium
2515,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,2138,MIDDLESEX,20,0,low
2516,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,NEW ALBANY,OH,43054,FRANKLIN,112,1,medium
2517,MOUNT CARMEL ST ANNS,WESTERVILLE,OH,43081,FRANKLIN,20,0,low
2518,MOUNT CARMEL WEST,COLUMBUS,OH,43222,FRANKLIN,21,0,low
2519,MOUNT DESERT ISLAND HOSPITAL,BAR HARBOR,ME,4609,HANCOCK,20,0,low
2520,MOUNT GRANT GENERAL HOSPITAL,HAWTHORNE,NV,89415,MINERAL,58,1,medium
2521,MOUNT NITTANY MEDICAL CENTER,STATE COLLEGE,PA,16803,CENTRE,20,0,low
2522,MOUNT PLEASANT HOSPITAL,MOUNT PLEASANT,SC,29466,CHARLESTON,20,0,low
2523,MOUNT SINAI HOSPITAL,NEW YORK,NY,10029,NEW YORK,21,0,low
2524,MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,33140,MIAMI-DADE,20,0,low
2525,MOUNT ST MARYS HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,14092,NIAGARA,20,0,low
2526,MOUNTAIN HOME VA MEDICAL CENTER,MOUNTAIN HOME,TN,37684,WASHINGTON,117,2,high
2527,MOUNTAIN LAKES MEDICAL CENTER,CLAYTON,GA,30525,RABUN,99,1,medium
2528,MOUNTAIN VIEW HOSPITAL,IDAHO FALLS,ID,83404,BONNEVILLE,20,0,low
2529,MOUNTAIN VIEW HOSPITAL,PAYSON,UT,84651,UTAH,20,0,low
2530,MOUNTAIN VIEW REGIONAL HOSPITAL,CASPER,WY,82605,NATRONA,21,0,low
2531,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,LAS CRUCES,NM,88011,DONA ANA,20,0,low
2532,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,85209,MARICOPA,23,1,medium
2533,MOUNTAIN WEST MEDICAL CENTER,TOOELE,UT,84074,TOOELE,20,0,low
2534,MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,CLARK,20,0,low
2535,MT ASCUTNEY HOSPITAL,WINDSOR,VT,5089,WINDSOR,120,2,high
2536,MT EDGECUMBE HOSPITAL,SITKA,AK,99835,SITKA,65,1,medium
2537,MT GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,85546,GRAHAM,21,0,low
2538,MT SAN RAFAEL HOSPITAL,TRINIDAD,CO,81082,LAS ANIMAS,32,1,medium
2539,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,60608,COOK,21,0,low
2540,MUHLENBERG COMMUNITY HOSPITAL,GREENVILLE,KY,42345,MUHLENBERG,23,1,medium
2541,MULTICARE AUBURN MEDICAL CENTER,AUBURN,WA,98001,KING,22,1,medium
2542,MULTICARE GOOD SAMARITAN HOSPITAL,PUYALLUP,WA,98372,PIERCE,20,0,low
2543,MUNCY VALLEY HOSPITAL,MUNCY,PA,17756,LYCOMING,20,0,low
2544,MUNISING MEMORIAL HOSPITAL,MUNISING,MI,49862,ALGER,33,1,medium
2545,MUNROE REGIONAL MEDICAL CENTER,OCALA,FL,34474,MARION,23,1,medium
2546,MUNSON HEALTHCARE CADILLAC HOSPITAL,CADILLAC,MI,49601,WEXFORD,22,1,medium
2547,MUNSON HEALTHCARE GRAYLING HOSPITAL,GRAYLING,MI,49738,CRAWFORD,20,0,low
2548,MUNSON MEDICAL CENTER,TRAVERSE CITY,MI,49684,GRAND TRAVERSE,20,0,low
2549,MURRAY COUNTY MEMORIAL HOSPITAL,SLAYTON,MN,56172,MURRAY,33,1,medium
2550,MURRAY MEDICAL CENTER,CHATSWORTH,GA,30705,MURRAY,22,1,medium
2551,MURRAY-CALLOWAY COUNTY HOSPITAL,MURRAY,KY,42071,CALLOWAY,22,1,medium
2552,MUSC MEDICAL CENTER,CHARLESTON,SC,29425,CHARLESTON,20,0,low
2553,MUSCOGEE (CREEK) NATION MEDICAL CENTER,OKMULGEE,OK,74447,OKMULGEE,22,1,medium
2554,MUSKOGEE VA MEDICAL CENTER,MUSKOGEE,OK,74401,MUSKOGEE,113,1,medium
2555,MYRTUE MEDICAL CENTER,HARLAN,IA,51537,SHELBY,20,0,low
2556,N Y EYE AND EAR INFIRMARY,NEW YORK,NY,10003,NEW YORK,40,1,medium
2557,NACOGDOCHES MEDICAL CENTER,NACOGDOCHES,TX,75961,NACOGDOCHES,20,0,low
2558,NANTICOKE MEMORIAL HOSPITAL,SEAFORD,DE,19973,SUSSEX,20,0,low
2559,NANTUCKET COTTAGE HOSPITAL,NANTUCKET,MA,2554,NANTUCKET,20,0,low
2560,NAPLES COMMUNITY HOSPITAL,NAPLES,FL,34102,COLLIER,21,0,low
2561,NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,27804,NASH,20,0,low
2562,NASHOBA VALLEY MEDICAL CENTER,AYER,MA,1432,MIDDLESEX,20,0,low
2563,NASON HOSPITAL,ROARING SPRING,PA,16673,BLAIR,21,0,low
2564,NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,11554,NASSAU,20,0,low
2565,NATCHITOCHES REGIONAL MEDICAL CENTER,NATCHITOCHES,LA,71457,NATCHITOCHES,20,0,low
2566,NATHAN LITTAUER HOSPITAL,GLOVERSVILLE,NY,12078,FULTON,20,0,low
2567,NATIONAL JEWISH HEALTH,DENVER,CO,80206,DENVER,72,1,medium
2568,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,GARLAND,23,1,medium
2569,NATIVIDAD MEDICAL CENTER,SALINAS,CA,93906,MONTEREY,20,0,low
2570,NAVARRO REGIONAL HOSPITAL,CORSICANA,TX,75110,NAVARRO,22,1,medium
2571,NAZARETH HOSPITAL,PHILADELPHIA,PA,19152,PHILADELPHIA,21,0,low
2572,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,72401,CRAIGHEAD,23,1,medium
2573,NEBRASKA ORTHOPAEDIC HOSPITAL,OMAHA,NE,68144,DOUGLAS,20,0,low
2574,"NEBRASKA SPINE HOSPITAL, LLC",OMAHA,NE,68122,DOUGLAS,113,1,medium
2575,NEMAHA COUNTY HOSPITAL,AUBURN,NE,68305,NEMAHA,30,1,medium
2576,NEMAHA VALLEY COMMUNITY HOSPITAL,SENECA,KS,66538,NEMAHA,101,1,medium
2577,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,CHANUTE,KS,66720,NEOSHO,26,1,medium
2578,NESHOBA COUNTY GENERAL HOSPITAL,PHILADELPHIA,MS,39350,NESHOBA,20,0,low
2579,NESS COUNTY HOSPITAL DISTRICT #2,NESS CITY,KS,67560,NESS,45,1,medium
2580,NEVADA REGIONAL MEDICAL CENTER,NEVADA,MO,64772,VERNON,22,1,medium
2581,NEW ENGLAND BAPTIST HOSPITAL,BOSTON,MA,2120,SUFFOLK,106,1,medium
2582,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,28402,NEW HANOVER,22,1,medium
2583,NEW HORIZONS MEDICAL CENTER,OWENTON,KY,40359,OWEN,85,1,medium
2584,NEW LONDON HOSPITAL,NEW LONDON,NH,3257,MERRIMACK,27,1,medium
2585,NEW ULM MEDICAL CENTER,NEW ULM,MN,56073,BROWN,20,0,low
2586,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",BROOKLYN,NY,11229,KINGS,21,0,low
2587,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,FLUSHING,NY,11355,QUEENS,20,0,low
2588,NEW YORK METHODIST HOSPITAL,BROOKLYN,NY,11215,KINGS,22,1,medium
2589,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,10021,NEW YORK,20,0,low
2590,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,CORTLANDT MANOR,NY,10567,WESTCHESTER,20,0,low
